,Open,High,Low,Close,Adj Close,Volume,US covid deaths
2020-04-06,75.73999786376953,77.26000213623047,74.02999877929688,75.7300033569336,63.59464263916016,10266500,6642.0
2020-04-07,78.37999725341797,78.58000183105469,75.25,75.38999938964844,63.30913543701172,11591700,6642.0
2020-04-08,76.44000244140625,78.9800033569336,74.77999877929688,78.55999755859375,65.97115325927734,12218500,6642.0
2020-04-09,78.55999755859375,80.08000183105469,78.55999755859375,79.75,66.97047424316406,9425900,6642.0
2020-04-13,80.66000366210938,81.33000183105469,78.66000366210938,80.30000305175781,67.43233489990234,9293500,13889.0
2020-04-14,80.62000274658203,82.8499984741211,80.29000091552734,82.12999725341797,69.9976806640625,11072700,13889.0
2020-04-15,80.51000213623047,83.04000091552734,79.62000274658203,81.81999969482422,69.73348999023438,8977300,13889.0
2020-04-16,82.7300033569336,83.72000122070312,81.58000183105469,81.86000061035156,69.76757049560547,10326900,13889.0
2020-04-17,84.0,84.79000091552734,82.5,83.44999694824219,71.12271118164062,10734800,13889.0
2020-04-20,83.54000091552734,85.33000183105469,82.62999725341797,83.98999786376953,71.58293151855469,9126300,15898.0
2020-04-21,82.51000213623047,82.97000122070312,80.0199966430664,80.36000061035156,68.48917388916016,9627500,15898.0
2020-04-22,81.2300033569336,82.44999694824219,80.7300033569336,81.47000122070312,69.43518829345703,7033300,15898.0
2020-04-23,82.18000030517578,83.83000183105469,81.95999908447266,82.04000091552734,69.92100524902344,7869600,15898.0
2020-04-24,82.87000274658203,83.66999816894531,82.3499984741211,83.58999633789062,71.24201202392578,6770700,15898.0
2020-04-27,84.02999877929688,84.91999816894531,83.77999877929688,84.69000244140625,72.17952728271484,9209700,14899.0
2020-04-28,85.69999694824219,85.97000122070312,82.37000274658203,82.76000213623047,70.5346450805664,8341000,14899.0
2020-04-29,83.72000122070312,84.75,82.13999938964844,83.76000213623047,71.38690185546875,8231700,14899.0
2020-04-30,82.97000122070312,83.26000213623047,81.2300033569336,82.19999694824219,70.0573501586914,15535800,14899.0
2020-05-01,81.94999694824219,84.2300033569336,80.5,82.83999633789062,70.60279846191406,12705300,14899.0
2020-05-04,82.22000122070312,82.83999633789062,81.12000274658203,81.86000061035156,69.76757049560547,6833000,13635.0
2020-05-05,82.94999694824219,86.4800033569336,82.5999984741211,85.37000274658203,72.75907897949219,10927000,13635.0
2020-05-06,86.27999877929688,88.1500015258789,85.25,85.41999816894531,72.80168151855469,17042600,13635.0
2020-05-07,86.5199966430664,86.83999633789062,83.55999755859375,84.22000122070312,71.77894592285156,11941800,13635.0
2020-05-08,84.41999816894531,84.66000366210938,82.44999694824219,83.95999908447266,71.55735778808594,20188100,13635.0
2020-05-11,85.08000183105469,88.45999908447266,83.9800033569336,87.9000015258789,74.91534423828125,19219800,12758.0
2020-05-12,90.0,92.2300033569336,88.47000122070312,90.45999908447266,77.0971908569336,23492300,12758.0
2020-05-13,90.73999786376952,92.23999786376952,87.7300033569336,88.87000274658203,75.7420654296875,23562600,12758.0
2020-05-14,87.62000274658203,90.4800033569336,87.43000030517578,89.94000244140625,76.65399169921875,13379500,12758.0
2020-05-15,90.01000213623047,91.1500015258789,89.41999816894531,90.70999908447266,77.31024169921875,14071200,12758.0
2020-05-18,92.0,93.66000366210938,91.30999755859376,91.47000122070312,77.95797729492188,16300200,10130.0
2020-05-19,91.26000213623048,91.6500015258789,89.55999755859375,91.1999969482422,77.72786712646484,9892500,10130.0
2020-05-20,92.12999725341795,92.54000091552734,89.9000015258789,91.19000244140624,77.71934509277344,10661500,10130.0
2020-05-21,91.27999877929688,93.12999725341795,90.3499984741211,93.0199966430664,79.27901458740234,10393200,10130.0
2020-05-22,92.87000274658205,93.01000213623048,91.7300033569336,92.0999984741211,78.49491882324219,5507000,10130.0
2020-05-26,93.4499969482422,93.56999969482422,90.30999755859376,90.70999908447266,77.31024169921875,11869800,8558.0
2020-05-27,90.54000091552734,91.0,88.55999755859375,89.9800033569336,76.6880874633789,12529500,8558.0
2020-05-28,90.87000274658205,91.19000244140624,90.0,90.02999877929688,76.73070526123047,8765900,8558.0
