Date,Open,High,Low,Close,Adj Close,Volume,US Overdose Deaths
2020-01-06,131.4199981689453,132.55999755859375,130.94000244140625,132.25999450683594,124.55309295654295,2102900,3
2020-01-07,131.6999969482422,132.92999267578125,131.6999969482422,132.50999450683594,124.78852081298828,2448300,4
2020-01-08,132.4600067138672,134.2100067138672,132.00999450683594,133.7100067138672,125.91860961914062,5188600,3
2020-01-09,134.5500030517578,136.36000061035156,134.00999450683594,135.9199981689453,127.99982452392578,4522800,4
2020-01-10,135.77999877929688,138.27000427246094,135.52999877929688,138.0,129.9585723876953,4177600,3
2020-01-13,138.1999969482422,139.99000549316406,137.88999938964844,138.94000244140625,130.84384155273438,5117100,1
2020-01-14,138.99000549316406,140.89999389648438,138.1199951171875,140.64999389648438,132.45420837402344,4685200,4
2020-01-15,140.5800018310547,141.69000244140625,140.00999450683594,141.11000061035156,132.88735961914062,3676500,2
2020-01-16,141.8300018310547,141.97000122070312,139.85000610351562,141.42999267578125,133.188720703125,3794800,2
2020-01-17,140.8800048828125,141.74000549316406,139.36000061035156,139.5800018310547,131.44656372070312,5393200,1
2020-01-21,139.5,141.57000732421875,138.42999267578125,140.91000366210938,132.69906616210938,4849500,1
2020-01-22,141.25,142.25,140.69000244140625,141.55999755859375,133.3111572265625,2742100,3
2020-01-23,141.25,141.74000549316406,139.8800048828125,141.2100067138672,132.9815673828125,3138700,3
2020-01-24,141.85000610351562,141.99000549316406,138.6999969482422,139.07000732421875,130.96627807617188,3183300,3
2020-01-27,137.33999633789062,139.10000610351562,137.33999633789062,138.30999755859375,130.25054931640625,2826400,4
2020-01-28,138.69000244140625,139.8800048828125,138.22999572753906,139.25999450683594,131.14520263671875,2649100,2
2020-01-29,139.50999450683594,141.13999938964844,138.97000122070312,139.9199981689453,131.7667236328125,2815500,5
2020-01-30,138.17999267578125,143.72000122070312,138.10000610351562,142.6699981689453,134.3564910888672,5243400,2
2020-01-31,142.85000610351562,142.85000610351562,139.47000122070312,139.63999938964844,131.50306701660156,3913500,8
2020-02-03,140.52999877929688,141.57000732421875,139.67999267578125,141.0,132.7838134765625,5137800,6
2020-02-04,142.3000030517578,144.07000732421875,141.77999877929688,143.44000244140625,135.08163452148438,3177500,4
2020-02-05,144.77999877929688,147.36000061035156,144.52999877929688,147.35000610351562,138.76377868652344,4060900,2
2020-02-06,147.74000549316406,147.8699951171875,146.80999755859375,147.3000030517578,138.7166748046875,3285000,2
2020-02-07,147.22000122070312,147.22000122070312,145.3800048828125,146.41000366210938,137.87857055664062,2670400,1
2020-02-10,141.5,145.5500030517578,141.1199951171875,145.50999450683594,137.03097534179688,4892100,1
2020-02-11,145.72999572753906,145.86000061035156,143.17999267578125,144.25,135.84439086914062,2976400,2
2020-02-12,144.6699981689453,144.89999389648438,143.49000549316406,143.50999450683594,135.14755249023438,3953200,2
2020-02-13,142.86000061035156,143.74000549316406,141.7899932861328,141.8000030517578,134.2293243408203,3455500,1
2020-02-14,142.25,142.32000732421875,140.57000732421875,141.1199951171875,133.58566284179688,2273700,5
2020-02-18,141.02000427246094,141.9600067138672,140.52999877929688,141.00999450683594,133.4815216064453,2858200,5
2020-02-19,141.6199951171875,141.83999633789062,140.36000061035156,140.8300018310547,133.31112670898438,3082800,5
2020-02-21,141.33999633789062,142.64999389648438,140.3300018310547,142.0399932861328,134.4564971923828,2900900,4
2020-02-24,139.27999877929688,141.58999633789062,137.8699951171875,138.14999389648438,130.77420043945312,4727400,4
2020-02-25,138.94000244140625,139.22999572753906,134.6199951171875,135.41000366210938,128.1804962158203,3401600,3
2020-02-26,136.02999877929688,137.02000427246094,133.30999755859375,133.52999877929688,126.40087890625,4659000,3
2020-02-27,133.3300018310547,134.6699981689453,129.0500030517578,129.19000244140625,122.29258728027344,4292800,4
2020-02-28,126.37999725341795,126.8000030517578,121.51000213623048,126.12999725341795,119.3959503173828,7898300,5
2020-03-02,127.73999786376952,133.0,126.20999908447266,132.83999633789062,125.7476806640625,7355700,3
